"path_specification","scenario_id","replication","n","p","dimension","correlation","representation","scheme","p_representation","glmnet_requested_lambda_points","glmnet_returned_lambda_points","glmnet_requested_lambda_min_ratio","glmnet_requested_lambda_max","glmnet_requested_lambda_min","glmnet_returned_lambda_max","glmnet_returned_lambda_min","glmnet_returned_lambda_min_ratio","glmnet_thresh","glmnet_maxit","glmnet_disable_early_stopping","glmnet_fdev","glmnet_devmax","glmnet_mnlam","glmnet_dfmax","glmnet_pmax","glmnet_type_gaussian","glmnet_control_interface","glmnet_jerr","glmnet_first_lambda_active_features","glmnet_last_lambda_active_features","glmnet_complete_requested_grid"
"primary_controlled",1,1,100,20,"n=100, p=20","independent","original","original",20,200,200,0.01,1.35865566638459,0.0135865566638459,1.35865566638459,0.0135865566638459,0.01,1e-08,100000,TRUE,0,1,200,20,20,"naive","legacy_arguments",0,0,19,TRUE
"primary_controlled",1,1,100,20,"n=100, p=20","independent","sparsified","quantile_2",40,200,200,0.01,1.17115123952956,0.0117115123952956,1.17115123952956,0.0117115123952956,0.01,1e-08,100000,TRUE,0,1,200,40,40,"naive","legacy_arguments",0,0,37,TRUE
"primary_controlled",1,1,100,20,"n=100, p=20","independent","sparsified","quantile_4",80,200,200,0.01,1.19990784650393,0.0119990784650393,1.19990784650393,0.0119990784650393,0.01,1e-08,100000,TRUE,0,1,200,80,80,"naive","legacy_arguments",0,0,68,TRUE
"primary_controlled",1,1,100,20,"n=100, p=20","independent","sparsified","quantile_8",160,200,200,0.01,0.962301518524948,0.00962301518524948,0.962301518524948,0.00962301518524948,0.01,1e-08,100000,TRUE,0,1,200,160,160,"naive","legacy_arguments",0,0,91,TRUE
"primary_controlled",1,1,100,20,"n=100, p=20","independent","sparsified","equal_width_4",80,200,200,0.01,0.981524149107302,0.00981524149107302,0.981524149107302,0.00981524149107302,0.01,1e-08,100000,TRUE,0,1,200,80,80,"naive","legacy_arguments",0,0,71,TRUE
"primary_controlled",1,2,100,20,"n=100, p=20","independent","original","original",20,200,200,0.01,1.23870398590241,0.0123870398590241,1.23870398590241,0.0123870398590241,0.01,1e-08,100000,TRUE,0,1,200,20,20,"naive","legacy_arguments",0,0,18,TRUE
"primary_controlled",1,2,100,20,"n=100, p=20","independent","sparsified","quantile_2",40,200,200,0.01,1.1532943611873,0.011532943611873,1.1532943611873,0.011532943611873,0.01,1e-08,100000,TRUE,0,1,200,40,40,"naive","legacy_arguments",0,0,38,TRUE
"primary_controlled",1,2,100,20,"n=100, p=20","independent","sparsified","quantile_4",80,200,200,0.01,1.16061034171872,0.0116061034171872,1.16061034171872,0.0116061034171872,0.01,1e-08,100000,TRUE,0,1,200,80,80,"naive","legacy_arguments",0,0,66,TRUE
"primary_controlled",1,2,100,20,"n=100, p=20","independent","sparsified","quantile_8",160,200,200,0.01,1.11623789046583,0.0111623789046583,1.11623789046583,0.0111623789046583,0.01,1e-08,100000,TRUE,0,1,200,160,160,"naive","legacy_arguments",0,0,95,TRUE
"primary_controlled",1,2,100,20,"n=100, p=20","independent","sparsified","equal_width_4",80,200,200,0.01,0.988957733435041,0.00988957733435041,0.988957733435041,0.00988957733435041,0.01,1e-08,100000,TRUE,0,1,200,80,80,"naive","legacy_arguments",0,0,68,TRUE
